image,error_type,gt_label,pred_label,iou,stage1_confidence,stage2_confidence
l_light_01_mouse_bite_05_2_600.jpg,false_positive_detection,,spur,0.000000,0.766425,0.907715
l_light_01_spurious_copper_09_1_600.jpg,misclassification,spurious_copper,spur,0.765627,0.850515,0.814941
l_light_01_spurious_copper_16_3_600.jpg,false_positive_detection,,spur,0.000000,0.843705,0.933105
l_light_01_spurious_copper_16_3_600.jpg,missed_detection,spurious_copper,,0.000000,,
l_light_04_short_16_4_600.jpg,false_positive_detection,,short,0.000000,0.676957,0.962402
l_light_05_missing_hole_08_1_600.jpg,false_positive_detection,,missing_hole,0.000000,0.687732,0.968750
l_light_05_spurious_copper_01_4_600.jpg,misclassification,spurious_copper,spur,0.938412,0.743503,0.353271
l_light_05_spurious_copper_09_2_600.jpg,misclassification,spurious_copper,spur,0.680668,0.702942,0.768555
l_light_06_spurious_copper_07_4_600.jpg,false_positive_detection,,spurious_copper,0.000000,0.758477,0.977539
l_light_06_spurious_copper_10_2_600.jpg,misclassification,spurious_copper,spur,0.754098,0.800527,0.588867
l_light_06_spurious_copper_10_5_600.jpg,misclassification,spurious_copper,spur,0.788889,0.703662,0.786133
l_light_07_spurious_copper_08_3_600.jpg,false_positive_detection,,open_circuit,0.000000,0.628005,0.883789
l_light_08_spur_09_1_600.jpg,misclassification,spur,spurious_copper,0.832971,0.809096,0.611816
l_light_08_spur_09_4_600.jpg,false_positive_detection,,spur,0.000000,0.670048,0.908203
l_light_08_spurious_copper_05_4_600.jpg,misclassification,spurious_copper,spur,0.840806,0.781524,0.496338
l_light_08_spurious_copper_06_4_600.jpg,misclassification,spurious_copper,spur,0.742565,0.738059,0.881348
l_light_09_missing_hole_07_1_600.jpg,false_positive_detection,,missing_hole,0.000000,0.835401,0.957031
l_light_09_spurious_copper_10_4_600.jpg,misclassification,spurious_copper,spur,0.669960,0.828833,0.843262
l_light_09_spurious_copper_10_4_600.jpg,false_positive_detection,,short,0.000000,0.586276,0.921387
l_light_12_missing_hole_06_4_600.jpg,false_positive_detection,,missing_hole,0.000000,0.767876,0.966797
l_light_12_mouse_bite_06_3_600.jpg,false_positive_detection,,mouse_bite,0.000000,0.830724,0.966797
l_light_12_short_04_4_600.jpg,false_positive_detection,,short,0.000000,0.802436,0.959961
l_light_12_spurious_copper_01_2_600.jpg,misclassification,spurious_copper,spur,0.856531,0.792525,0.825684
l_light_12_spurious_copper_09_2_600.jpg,false_positive_detection,,spurious_copper,0.000000,0.742069,0.698730
l_light_12_spurious_copper_10_4_600.jpg,misclassification,spurious_copper,spur,0.866450,0.843137,0.828125
light_01_missing_hole_02_3_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_05_2_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_05_2_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_06_3_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_06_3_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_07_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_08_2_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_10_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_10_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_11_5_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_14_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_missing_hole_14_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_01_mouse_bite_06_2_600.jpg,missed_detection,mouse_bite,,0.000000,,
light_01_mouse_bite_07_3_600.jpg,missed_detection,mouse_bite,,0.000000,,
light_01_mouse_bite_12_2_600.jpg,missed_detection,mouse_bite,,0.000000,,
light_01_mouse_bite_12_2_600.jpg,missed_detection,mouse_bite,,0.000000,,
light_01_mouse_bite_17_2_600.jpg,missed_detection,mouse_bite,,0.000000,,
light_01_mouse_bite_17_2_600.jpg,missed_detection,mouse_bite,,0.000000,,
light_01_open_circuit_09_1_600.jpg,missed_detection,open_circuit,,0.000000,,
light_01_open_circuit_12_3_600.jpg,missed_detection,open_circuit,,0.000000,,
light_01_open_circuit_14_2_600.jpg,missed_detection,open_circuit,,0.000000,,
light_01_open_circuit_18_1_600.jpg,missed_detection,open_circuit,,0.000000,,
light_01_open_circuit_18_1_600.jpg,missed_detection,open_circuit,,0.000000,,
light_01_short_01_2_600.jpg,missed_detection,short,,0.000000,,
light_01_short_01_2_600.jpg,missed_detection,short,,0.000000,,
light_01_short_10_2_600.jpg,missed_detection,short,,0.000000,,
light_01_short_10_2_600.jpg,missed_detection,short,,0.000000,,
light_01_short_10_2_600.jpg,missed_detection,short,,0.000000,,
light_01_spur_14_1_600.jpg,missed_detection,spur,,0.000000,,
light_01_spur_14_1_600.jpg,missed_detection,spur,,0.000000,,
light_01_spur_14_1_600.jpg,missed_detection,spur,,0.000000,,
light_01_spurious_copper_01_2_600.jpg,missed_detection,spurious_copper,,0.000000,,
light_01_spurious_copper_01_3_600.jpg,missed_detection,spurious_copper,,0.000000,,
light_01_spurious_copper_06_2_600.jpg,missed_detection,spurious_copper,,0.000000,,
light_01_spurious_copper_13_2_600.jpg,missed_detection,spurious_copper,,0.000000,,
light_04_missing_hole_07_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_07_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_07_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_08_3_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_08_3_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_14_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_14_1_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_18_3_600.jpg,missed_detection,missing_hole,,0.000000,,
light_04_missing_hole_18_3_600.jpg,missed_detection,missing_hole,,0.000000,,
